
=== PC=0 DETECTED at cycle 4598119562 ===
core_st=0 next_st=1 mmu_st=0 bus_addr=0x80780660
fe_instr=0x00008067

--- Register file ---
  x0  = 0x00000000  x1  = 0x00000000  x2  = 0xc1c81ad0  x3  = 0xc1909498
  x4  = 0xc1c8a440  x5  = 0x74b96130  x6  = 0x00000e38  x7  = 0x000000c1
  x8  = 0x00000000  x9  = 0x00000000  x10 = 0x0000000e  x11 = 0x001fca60
  x12 = 0x00000ff0  x13 = 0xc1c9701e  x14 = 0x00000ff0  x15 = 0x00040000
  x16 = 0xc1c09d80  x17 = 0x00000cc0  x18 = 0x00000000  x19 = 0xc157b4e8
  x20 = 0x00000000  x21 = 0xc0233a88  x22 = 0x00000000  x23 = 0x00000002
  x24 = 0x0000003a  x25 = 0x0024b148  x26 = 0x00000000  x27 = 0x00000000
  x28 = 0x0000ff00  x29 = 0x00000e38  x30 = 0x00ff0000  x31 = 0x00000e39

--- PC history (last 4096 committed) ---
  [4598097181] pc=0xc0355d2c st=6 next=0 instr=0x00ff47b3 bus=0x80755d2c ra=0xc035501c
  [4598097186] pc=0xc0355d30 st=6 next=0 instr=0x0107dd93 bus=0x80755d30 ra=0xc035501c
  [4598097191] pc=0xc0355d34 st=6 next=0 instr=0x01079793 bus=0x80755d34 ra=0xc035501c
  [4598097196] pc=0xc0355d38 st=6 next=0 instr=0x01b787b3 bus=0x80755d38 ra=0xc035501c
  [4598097201] pc=0xc0355d3c st=6 next=0 instr=0x00f282b3 bus=0x80755d3c ra=0xc035501c
  [4598097206] pc=0xc0355d40 st=6 next=0 instr=0x0112c8b3 bus=0x80755d40 ra=0xc035501c
  [4598097211] pc=0xc0355d44 st=6 next=0 instr=0x00c8dd93 bus=0x80755d44 ra=0xc035501c
  [4598097216] pc=0xc0355d48 st=6 next=0 instr=0x01489893 bus=0x80755d48 ra=0xc035501c
  [4598097221] pc=0xc0355d4c st=6 next=0 instr=0x01b888b3 bus=0x80755d4c ra=0xc035501c
  [4598097226] pc=0xc0355d50 st=6 next=0 instr=0x01eb0f33 bus=0x80755d50 ra=0xc035501c
  [4598097231] pc=0xc0355d54 st=6 next=0 instr=0x011f0f33 bus=0x80755d54 ra=0xc035501c
  [4598097236] pc=0xc0355d58 st=6 next=0 instr=0x00ff47b3 bus=0x80755d58 ra=0xc035501c
  [4598097241] pc=0xc0355d5c st=6 next=0 instr=0x0087dd93 bus=0x80755d5c ra=0xc035501c
  [4598097246] pc=0xc0355d60 st=6 next=0 instr=0x01879793 bus=0x80755d60 ra=0xc035501c
  [4598097251] pc=0xc0355d64 st=6 next=0 instr=0x01b787b3 bus=0x80755d64 ra=0xc035501c
  [4598097256] pc=0xc0355d68 st=6 next=0 instr=0x00f282b3 bus=0x80755d68 ra=0xc035501c
  [4598097261] pc=0xc0355d6c st=6 next=0 instr=0x0112c8b3 bus=0x80755d6c ra=0xc035501c
